Crop,City,Necessary_Measures
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sugarcane,Karnataka,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Turmeric,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Karnataka,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Kerala,"Agroforestry practices, organic manures, pest-resistant varieties."
Black pepper,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coconut ,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arecanut,Meghalaya,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Meghalaya,"Promote intercropping, biofertilizers, efficient irrigation."
Banana,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Meghalaya,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Cotton(lint),Meghalaya,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Meghalaya,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Mesta,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Meghalaya,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Meghalaya,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Meghalaya,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Meghalaya,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,West Bengal,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,West Bengal,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,West Bengal,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),West Bengal,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Khesari,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,West Bengal,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,West Bengal,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sannhamp,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,West Bengal,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,West Bengal,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Puducherry,"Agroforestry practices, organic manures, pest-resistant varieties."
Bajra,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Puducherry,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Puducherry,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Puducherry,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Puducherry,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Puducherry,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Tapioca,Puducherry,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arecanut,Assam,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Assam,"Promote intercropping, biofertilizers, efficient irrigation."
Banana,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Assam,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Assam,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Assam,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Mesta,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Assam,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Assam,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Assam,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Goa,"Agroforestry practices, organic manures, pest-resistant varieties."
Banana,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coconut ,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Goa,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Goa,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Goa,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sugarcane,Goa,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Arecanut,Karnataka,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Karnataka,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Bajra,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Bajra,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Karnataka,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Karnataka,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Moong(Green Gram),Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Karnataka,"Use disease-free seeds, precision irrigation, organic manure."
Potato,Karnataka,"Use disease-free seeds, precision irrigation, organic manure."
Potato,Karnataka,"Use disease-free seeds, precision irrigation, organic manure."
Potato,Karnataka,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Karnataka,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Kerala,"Agroforestry practices, organic manures, pest-resistant varieties."
Banana,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coconut ,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Kerala,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Kerala,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Kerala,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Kerala,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Kerala,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arecanut,Meghalaya,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Meghalaya,"Promote intercropping, biofertilizers, efficient irrigation."
Banana,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Meghalaya,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Meghalaya,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Mesta,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Meghalaya,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Meghalaya,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Meghalaya,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Meghalaya,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Meghalaya,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,West Bengal,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,West Bengal,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,West Bengal,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),West Bengal,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Khesari,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,West Bengal,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,West Bengal,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
