Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,CO2_Fertilizer,CO2_Pesticide,CO2_Emissions,Carbon_Footprint
Rice,1997,Summer     ,Karnataka,268044,762759,1266.7,25509747.48,83093.64,2.829444444,67600830.822,415468.2,68016299.022,89.1714145909783
Sugarcane,1997,Whole Year ,Karnataka,308857,28999269,1266.7,29393920.69,95745.67,91.74736842,77893889.8285,478728.35,78372618.1785,2.70257219857852
Turmeric,1997,Whole Year ,Karnataka,4342,24108,1266.7,413228.14,1346.02,4.452941176,1095054.571,6730.1,1101784.671,45.7020354654057
Wheat,1997,Rabi       ,Karnataka,250698,118512,1266.7,23858928.66,77716.38,0.548333333,63226160.949,388581.9,63614742.849,536.778915628797
Arecanut,1997,Whole Year ,Kerala,76145,93995,3252.4,7246719.65,23604.95,1.147857143,19203807.0725,118024.75,19321831.8225,205.562336533858
Black pepper,1997,Whole Year ,Kerala,173855,55520,3252.4,16545780.35,53895.05,0.240714286,43846317.9275,269475.25,44115793.1775,794.592816597623
Cashewnut,1997,Whole Year ,Kerala,96073,74142,3252.4,9143267.41,29782.63,0.589285714,24229658.6365,148913.15,24378571.7865,328.809201080359
Coconut ,1997,Whole Year ,Kerala,884344,5210000000,3252.4,84163018.48,274146.64,5376.054286,223031998.972,1370733.2,224402732.172,0.0430715416836852
Tapioca,1997,Whole Year ,Kerala,132875,2841819,3252.4,12645713.75,41191.25,22.80357143,33511141.4375,205956.25,33717097.6875,11.8646182911368
Arecanut,1997,Whole Year ,Meghalaya,9569,12116,3818.2,910681.73,2966.39,1.245714286,2413306.5845,14831.95,2428138.5345,200.407604366128
Arhar/Tur,1997,Kharif     ,Meghalaya,865,683,3818.2,82322.05,268.15,0.806666667,218153.4325,1340.75,219494.1825,321.367763543192
Banana,1997,Whole Year ,Meghalaya,5239,63011,3818.2,498595.63,1624.09,11.20714286,1321278.4195,8120.45,1329398.8695,21.0978855993398
Castor seed,1997,Rabi       ,Meghalaya,30,15,3818.2,2855.1,9.3,0.49,7566.015,46.5,7612.515,507.501
Cotton(lint),1997,Kharif     ,Meghalaya,7544,5590,3818.2,717962.48,2338.64,0.796666667,1902600.572,11693.2,1914293.772,342.449690876565
Dry chillies,1997,Whole Year ,Meghalaya,1766,1106,3818.2,168070.22,547.46,0.64,445386.083,2737.3,448123.383,405.174849005425
Ginger,1997,Kharif     ,Meghalaya,7357,45260,3818.2,700165.69,2280.67,6.054285714,1855439.0785,11403.35,1866842.4285,41.247070890411
Gram,1997,Rabi       ,Meghalaya,443,270,3818.2,42160.31,137.33,0.613333333,111724.8215,686.65,112411.4715,416.338783333333
Jute,1997,Kharif     ,Meghalaya,4243,34683,3818.2,403806.31,1315.33,8.436666667,1070086.7215,6576.65,1076663.3715,31.0429712395122
Linseed,1997,Kharif     ,Meghalaya,50,22,3818.2,4758.5,15.5,0.44,12610.025,77.5,12687.525,576.705681818182
Maize,1997,Kharif     ,Meghalaya,17175,24878,3818.2,1634544.75,5324.25,1.444285714,4331543.5875,26621.25,4358164.8375,175.181479118096
Mesta,1997,Kharif     ,Meghalaya,4688,21558,3818.2,446156.96,1453.28,4.68,1182315.944,7266.4,1189582.344,55.1805521848038
Mesta,1997,Whole Year ,Meghalaya,861,713,3818.2,81941.37,266.91,0.7525,217144.6305,1334.55,218479.1805,306.422413043478
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909,1511,3818.2,181679.53,591.79,0.777142857,481450.7545,2958.95,484409.7045,320.58881833223
Potato,1997,Whole Year ,Meghalaya,20764,200509,3818.2,1976109.88,6436.84,8.641428571,5236691.182,32184.2,5268875.382,26.2775006707928
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914,4467,3818.2,658005.38,2143.34,0.608571429,1743714.257,10716.7,1754430.957,392.753740094023
Rice,1997,Kharif     ,Meghalaya,105170,150101,3818.2,10009028.9,32602.7,1.378571429,26523926.585,163013.5,26686940.085,177.793219798669
Sesamum,1997,Kharif     ,Meghalaya,1326,688,3818.2,126195.42,411.06,0.575714286,334417.863,2055.3,336473.163,489.05982994186
Small millets,1997,Kharif     ,Meghalaya,2804,2237,3818.2,266856.68,869.24,0.861428571,707170.202,4346.2,711516.402,318.067233795262
Soyabean,1997,Kharif     ,Meghalaya,898,814,3818.2,85462.66,278.38,0.921428571,226476.049,1391.9,227867.949,279.936055282555
Sugarcane,1997,Whole Year ,Meghalaya,82,225,3818.2,7803.94,25.42,2.352,20680.441,127.1,20807.541,92.47796
Sweet potato,1997,Whole Year ,Meghalaya,5212,16978,3818.2,496026.04,1615.72,3.221428571,1314469.006,8078.6,1322547.606,77.8977268229474
Tapioca,1997,Whole Year ,Meghalaya,3959,21087,3818.2,376778.03,1227.29,6.537142857,998461.7795,6136.45,1004598.2295,47.6406425522834
Tobacco,1997,Rabi       ,Meghalaya,742,505,3818.2,70616.14,230.02,0.618,187132.771,1150.1,188282.871,372.837368316832
Turmeric,1997,Whole Year ,Meghalaya,1401,7126,3818.2,133333.17,434.31,5.425714286,353332.9005,2171.55,355504.4505,49.8883595986528
Wheat,1997,Rabi       ,Meghalaya,4287,6894,3818.2,407993.79,1328.97,1.385,1081183.5435,6644.85,1087828.3935,157.793500652742
Arecanut,1997,Whole Year ,West Bengal,8058,12423,1852.9,766879.86,2497.98,1.691764706,2032231.629,12489.9,2044721.529,164.591606616759
Arhar/Tur,1997,Whole Year ,West Bengal,3630,2181,1852.9,345467.1,1125.3,0.777692308,915487.815,5626.5,921114.315,422.335770288858
Bajra,1997,Kharif     ,West Bengal,207,95,1852.9,19700.19,64.17,0.426666667,52205.5035,320.85,52526.3535,552.908984210526
Barley,1997,Whole Year ,West Bengal,6116,5034,1852.9,582059.72,1895.96,1.68,1542458.258,9479.8,1551938.058,308.291231227652
Cardamom,1997,Whole Year ,West Bengal,2674,7,1852.9,254484.58,828.94,0,674384.137,4144.7,678528.837,96932.691
Castor seed,1997,Whole Year ,West Bengal,660,46,1852.9,62812.2,204.6,0.07,166452.33,1023,167475.33,3640.76804347826
Coconut ,1997,Whole Year ,West Bengal,24273,306202300,1852.9,2310061.41,7524.63,13003.78778,6121662.7365,37623.15,6159285.8865,0.0201150869425213
Cotton(lint),1997,Kharif     ,West Bengal,26000,52000,1852.9,2474420,8060,2,6557213,40300,6597513,126.87525
Dry chillies,1997,Whole Year ,West Bengal,64034,55569,1852.9,6094115.78,19850.54,0.942777778,16149406.817,99252.7,16248659.517,292.405109269557
Gram,1997,Rabi       ,West Bengal,25485,16994,1852.9,2425407.45,7900.35,0.5975,6427329.7425,39501.75,6466831.4925,380.536159379781
Groundnut,1997,Whole Year ,West Bengal,29615,38672,1852.9,2818459.55,9180.65,1.13,7468917.8075,45903.25,7514821.0575,194.322017415701
Horse-gram,1997,Kharif     ,West Bengal,5645,2556,1852.9,537234.65,1749.95,0.438888889,1423671.8225,8749.75,1432421.5725,560.415325704225
Jowar,1997,Whole Year ,West Bengal,948,450,1852.9,90221.16,293.88,0.482,239086.074,1469.4,240555.474,534.56772
Jute,1997,Kharif     ,West Bengal,641574,7549700,1852.9,61058597.58,198887.94,13.44588235,161805283.587,994439.7,162799723.287,21.5637340936726
Khesari,1997,Rabi       ,West Bengal,25261,28460,1852.9,2404089.37,7830.91,1.095882353,6370836.8305,39154.55,6409991.3805,225.228087860155
Linseed,1997,Whole Year ,West Bengal,16486,4210,1852.9,1568972.62,5110.66,0.251538462,4157777.443,25553.3,4183330.743,993.665259619953
Maize,1997,Whole Year ,West Bengal,35469,130390,1852.9,3375584.73,10995.39,2.658461538,8945299.5345,54976.95,9000276.4845,69.0258185788788
Masoor,1997,Rabi       ,West Bengal,51202,35040,1852.9,4872894.34,15872.62,0.662352941,12913170.001,79363.1,12992533.101,370.791469777397
Mesta,1997,Kharif     ,West Bengal,9689,89000,1852.9,922102.13,3003.59,9.154166667,2443570.6445,15017.95,2458588.5945,27.6245909494382
Moong(Green Gram),1997,Kharif     ,West Bengal,1490,711,1852.9,141803.3,461.9,0.548888889,375778.745,2309.5,378088.245,531.769683544304
Moong(Green Gram),1997,Rabi       ,West Bengal,3269,1710,1852.9,311110.73,1013.39,0.542857143,824443.4345,5066.95,829510.3845,485.093792105263
Moong(Green Gram),1997,Summer     ,West Bengal,9959,303,1852.9,947798.03,3087.29,0.046,2511664.7795,15436.45,2527101.2295,8340.26808415842
Niger seed,1997,Rabi       ,West Bengal,50808100,38657300,1852.9,4835406877,15750511,0.698888889,12813828224.05,78752555,12892580779.05,333.509603077556
Niger seed,1997,Whole Year ,West Bengal,6512,3522,1852.9,619747.04,2018.72,0.40375,1642329.656,10093.6,1652423.256,469.171850085179
Other Kharif pulses,1997,Kharif     ,West Bengal,1279,725,1852.9,121722.43,396.49,0.585,322564.4395,1982.45,324546.8895,447.650882068966
Potato,1997,Whole Year ,West Bengal,284015,5581553,1852.9,27029707.55,88044.65,18.23722222,71628725.0075,440223.25,72068948.2575,12.911988519593
Ragi,1997,Autumn     ,West Bengal,12607,15330,1852.9,1199808.19,3908.17,0.986,3179491.7035,19540.85,3199032.5535,208.67792260274
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123,250950,1852.9,31132295.91,101408.13,0.718333333,82500584.1615,507040.65,83007624.8115,330.773559719068
Rice,1997,Autumn     ,West Bengal,423121,751970,1852.9,40268425.57,131167.51,1.837222222,106711327.7605,655837.55,107367165.3105,142.781181843026
Rice,1997,Summer     ,West Bengal,1206829,3569520,1852.9,114853915.9,374116.99,2.843888889,304362877.135,1870584.95,306233462.085,85.7912162097425
Rice,1997,Winter     ,West Bengal,4270328,8915100,1852.9,406407115.8,1323801.68,1.985555556,1076978856.87,6619008.4,1083597865.27,121.546350043185
Safflower,1997,Whole Year ,West Bengal,10800,3000,1852.9,1027836,3348,0.2975,2723765.4,16740,2740505.4,913.5018
Sannhamp,1997,Whole Year ,West Bengal,2015,9073,1852.9,191767.55,624.65,4.598571429,508184.0075,3123.25,511307.2575,56.3548173151108
Sesamum,1997,Whole Year ,West Bengal,127913,88943,1852.9,12173480.21,39653.03,0.649444444,32259722.5565,198265.15,32457987.7065,364.930210432524
Small millets,1997,Whole Year ,West Bengal,5046,3222,1852.9,480227.82,1564.26,0.626666667,1272603.723,7821.3,1280425.023,397.400689944134
Soyabean,1997,Kharif     ,West Bengal,1555,1172,1852.9,147989.35,482.05,1.196666667,392171.7775,2410.25,394582.0275,336.674084897611
Sugarcane,1997,Whole Year ,West Bengal,25797,1818700,1852.9,2455100.49,7997.07,67.83625,6506016.2985,39985.35,6546001.6485,3.59927511326772
Sunflower,1997,Whole Year ,West Bengal,278,1,1852.9,26457.26,86.18,0,70111.739,430.9,70542.639,70542.639
Turmeric,1997,Whole Year ,West Bengal,12481,23556,1852.9,1187816.77,3869.11,1.661111111,3147714.4405,19345.55,3167059.9905,134.448123217015
Urad,1997,Kharif     ,West Bengal,69271,44480,1852.9,6592521.07,21474.01,1.825,17470180.8355,107370.05,17577550.8855,395.178751922212
Urad,1997,Rabi       ,West Bengal,16694,10553,1852.9,1588767.98,5175.14,0.628333333,4210235.147,25875.7,4236110.847,401.412948640197
Wheat,1997,Rabi       ,West Bengal,367374,810480,1852.9,34962983.58,113885.94,1.886666667,92651906.487,569429.7,93221336.187,115.019909420344
Arecanut,1998,Kharif     ,Puducherry,66,23,1434.5875,6520.8,19.14,0.35,17280.12,95.7,17375.82,755.470434782609
Bajra,1998,Kharif     ,Puducherry,149,324,1434.5875,14721.2,43.21,2.17,39011.18,216.05,39227.23,121.071697530864
Black pepper,1998,Kharif     ,Puducherry,12,7,1434.5875,1185.6,3.48,0.58,3141.84,17.4,3159.24,451.32
Coriander,1998,Kharif     ,Puducherry,2,1,1434.5875,197.6,0.58,0.5,523.64,2.9,526.54,526.54
Cotton(lint),1998,Summer     ,Puducherry,453,372,1434.5875,44756.4,131.37,0.84,118604.46,656.85,119261.31,320.594919354839
Dry chillies,1998,Kharif     ,Puducherry,8,23,1434.5875,790.4,2.32,2.75,2094.56,11.6,2106.16,91.5721739130435
Groundnut,1998,Rabi       ,Puducherry,1046,2062,1434.5875,103344.8,303.34,1.54,273863.72,1516.7,275380.42,133.550155189137
Onion,1998,Kharif     ,Puducherry,26,429,1434.5875,2568.8,7.54,16.5,6807.32,37.7,6845.02,15.9557575757576
Ragi,1998,Kharif     ,Puducherry,112,366,1434.5875,11065.6,32.48,3.27,29323.84,162.4,29486.24,80.5634972677596
Rice,1998,Kharif     ,Puducherry,4945,11518,1434.5875,488566,1434.05,2.46,1294699.9,7170.25,1301870.15,113.029184754298
Rice,1998,Rabi       ,Puducherry,13961,30220,1434.5875,1379346.8,4048.69,2.555,3655269.02,20243.45,3675512.47,121.625164460622
Rice,1998,Summer     ,Puducherry,5716,14863,1434.5875,564740.8,1657.64,2.55,1496563.12,8288.2,1504851.32,101.248154477562
Sesamum,1998,Kharif     ,Puducherry,147,120,1434.5875,14523.6,42.63,0.806666667,38487.54,213.15,38700.69,322.50575
Small millets,1998,Kharif     ,Puducherry,4,3,1434.5875,395.2,1.16,0.75,1047.28,5.8,1053.08,351.026666666667
Sugarcane,1998,Kharif     ,Puducherry,2710,232369,1434.5875,267748,785.9,82.595,709532.2,3929.5,713461.7,3.07038245204825
Tapioca,1998,Kharif     ,Puducherry,649,19110,1434.5875,64121.2,188.21,20,169921.18,941.05,170862.23,8.94098534798535
Arecanut,1998,Whole Year ,Assam,74457,55355,2354.4,7356351.6,21592.53,0.784347826,19494331.74,107962.65,19602294.39,354.119671032427
Arhar/Tur,1998,Kharif     ,Assam,7657,5389,2354.4,756511.6,2220.53,0.709130435,2004755.74,11102.65,2015858.39,374.069101874188
Banana,1998,Whole Year ,Assam,41885,581884,2354.4,4138238,12146.65,13.78826087,10966330.7,60733.25,11027063.95,18.9506223749063
Castor seed,1998,Kharif     ,Assam,1728,708,2354.4,170726.4,501.12,0.411428571,452424.96,2505.6,454930.56,642.557288135593
Coconut ,1998,Whole Year ,Assam,20166,149866000,2354.4,1992400.8,5848.14,6045.886957,5279862.12,29240.7,5309102.82,0.0354256657280504
Cotton(lint),1998,Kharif     ,Assam,1652,751,2354.4,163217.6,479.08,0.399130435,432526.64,2395.4,434922.04,579.123888149135
Dry chillies,1998,Whole Year ,Assam,14724,9690,2354.4,1454731.2,4269.96,0.636956522,3855037.68,21349.8,3876387.48,400.039987616099
Gram,1998,Rabi       ,Assam,3002,1503,2354.4,296597.6,870.58,0.460454545,785983.64,4352.9,790336.54,525.839347970725
Jute,1998,Kharif     ,Assam,78702,687173,2354.4,7775757.6,22823.58,9.040869565,20605757.64,114117.9,20719875.54,30.1523423359183
Linseed,1998,Rabi       ,Assam,10222,5212,2354.4,1009933.6,2964.38,0.480909091,2676324.04,14821.9,2691145.94,516.336519570223
Maize,1998,Kharif     ,Assam,19810,13965,2354.4,1957228,5744.9,0.608695652,5186654.2,28724.5,5215378.7,373.460701754386
Mesta,1998,Kharif     ,Assam,5260,25623,2354.4,519688,1525.4,4.9105,1377173.2,7627,1384800.2,54.0452015767084
Niger seed,1998,Kharif     ,Assam,8753,4478,2354.4,864796.4,2538.37,0.520555556,2291710.46,12691.85,2304402.31,514.605250111657
Onion,1998,Whole Year ,Assam,8083,18341,2354.4,798600.4,2344.07,2.340434783,2116291.06,11720.35,2128011.41,116.024830161932
Other  Rabi pulses,1998,Rabi       ,Assam,116141,62330,2354.4,11474730.8,33680.89,0.50826087,30408036.62,168404.45,30576441.07,490.557373175036
Potato,1998,Whole Year ,Assam,76958,611077,2354.4,7603450.4,22317.82,7.230434783,20149143.56,111589.1,20260732.66,33.1557768660905
Rapeseed &Mustard,1998,Rabi       ,Assam,288829,135631,2354.4,28536305.2,83760.41,0.473478261,75621208.78,418802.05,76040010.83,560.638871865576
Rice,1998,Autumn     ,Assam,594979,520605,2354.4,58783925.2,172543.91,1.055652174,155777401.78,862719.55,156640121.33,300.880939157327
Rice,1998,Summer     ,Assam,223913,446114,2354.4,22122604.4,64934.77,1.685217391,58624901.66,324673.85,58949575.51,132.140160385014
Rice,1998,Winter     ,Assam,1635230,2288114,2354.4,161560724,474216.7,1.395652174,428135918.6,2371083.5,430507002.1,188.149280193207
Sesamum,1998,Kharif     ,Assam,15940,8210,2354.4,1574872,4622.6,0.485217391,4173410.8,23113,4196523.8,511.14784409257
Small millets,1998,Kharif     ,Assam,10547,5450,2354.4,1042043.6,3058.63,0.521363636,2761415.54,15293.15,2776708.69,509.487833027523
Sugarcane,1998,Whole Year ,Assam,30571,1223578,2354.4,3020414.8,8865.59,39.89304348,8004099.22,44327.95,8048427.17,6.5777802232469
Sweet potato,1998,Whole Year ,Assam,9433,32437,2354.4,931980.4,2735.57,3.435652174,2469748.06,13677.85,2483425.91,76.561516478096
Tapioca,1998,Whole Year ,Assam,2798,13261,2354.4,276442.4,811.42,4.445217391,732572.36,4057.1,736629.46,55.5485604403891
Tobacco,1998,Whole Year ,Assam,1465,732,2354.4,144742,424.85,0.569545455,383566.3,2124.25,385690.55,526.899658469945
Turmeric,1998,Whole Year ,Assam,10729,7416,2354.4,1060025.2,3111.41,0.666956522,2809066.78,15557.05,2824623.83,380.882393473571
Wheat,1998,Rabi       ,Assam,89591,90509,2354.4,8851590.8,25981.39,0.999545455,23456715.62,129906.95,23586622.57,260.599747759891
Arecanut,1998,Whole Year ,Goa,1500,1820,2964.9,148200,435,1.21,392730,2175,394905,216.980769230769
Banana,1998,Whole Year ,Goa,1900,14400,2964.9,187720,551,7.58,497458,2755,500213,34.7370138888889
Black pepper,1998,Whole Year ,Goa,250,70,2964.9,24700,72.5,0.28,65455,362.5,65817.5,940.25
Cashewnut,1998,Whole Year ,Goa,52875,15000,2964.9,5224050,15333.75,0.28,13843732.5,76668.75,13920401.25,928.02675
Coconut ,1998,Whole Year ,Goa,24858,121000000,2964.9,2455970.4,7208.82,4867.65,6508321.56,36044.1,6544365.66,0.0540856666115702
Groundnut,1998,Kharif     ,Goa,350,412,2964.9,34580,101.5,1.18,91637,507.5,92144.5,223.651699029126
Groundnut,1998,Rabi       ,Goa,1048,2124,2964.9,103542.4,303.92,2.03,274387.36,1519.6,275906.96,129.899698681733
Other  Rabi pulses,1998,Rabi       ,Goa,8671,9220,2964.9,856694.8,2514.59,1.06,2270241.22,12572.95,2282814.17,247.593727765727
Other Kharif pulses,1998,Kharif     ,Goa,1200,324,2964.9,118560,348,0.27,314184,1740,315924,975.074074074074
Ragi,1998,Kharif     ,Goa,2500,2476,2964.9,247000,725,0.99,654550,3625,658175,265.821890145396
Rice,1998,Kharif     ,Goa,41000,104249,2964.9,4050800,11890,2.54,10734620,59450,10794070,103.541233009429
Rice,1998,Rabi       ,Goa,15439,46925,2964.9,1525373.2,4477.31,3.04,4042238.98,22386.55,4064625.53,86.6196170484816
Sugarcane,1998,Whole Year ,Goa,1320,64000,2964.9,130416,382.8,48.48,345602.4,1914,347516.4,5.42994375
Arecanut,1998,Whole Year ,Karnataka,98047,648365,1260.8,9687043.6,28433.63,6.232,25670665.54,142168.15,25812833.69,39.8121948131068
Arhar/Tur,1998,Kharif     ,Karnataka,475396,221453,1260.8,46969124.8,137864.84,0.400833333,124468180.72,689324.2,125157504.92,565.165091102852
Bajra,1998,Kharif     ,Karnataka,415816,282231,1260.8,41082620.8,120586.64,0.601764706,108868945.12,602933.2,109471878.32,387.88041823896
Bajra,1998,Rabi       ,Karnataka,451,536,1260.8,44558.8,130.79,1.19,118080.82,653.95,118734.77,221.520093283582
Bajra,1998,Summer     ,Karnataka,846,498,1260.8,83584.8,245.34,0.59,221499.72,1226.7,222726.42,447.241807228916
Black pepper,1998,Whole Year ,Karnataka,4387,10342,1260.8,433435.6,1272.23,2.238,1148604.34,6361.15,1154965.49,111.677189131696
Cardamom,1998,Whole Year ,Karnataka,20218,1153,1260.8,1997538.4,5863.22,0.06,5293476.76,29316.1,5322792.86,4616.47255854293
